externalSampleId bilirubin creatinine cholesterol glucose urea weight fat_weight
BL2274-622 0.3 0.22 147 294 23 35.17 0.273132
BL2274-622 0.3 0.22 147 294 23 33.43 0.273132
BL2275-458 0.1 0.19 111 303 16 27.79 0.235439
BL2275-458 0.1 0.19 111 303 16 31.5 0.235439
BL2275-458 0.1 0.19 111 303 16 33.29 0.235439
BL2275-458 0.1 0.19 111 303 16 25.92 0.235439
BL2275-458 0.1 0.19 111 303 16 27.79 0.235439
BL2301-355 0.2 0.17 93 265 16 25.24 0.170471
BL2301-355 0.2 0.17 93 265 16 24.11 0.170471
BL2301-355 0.2 0.17 93 265 16 20.4 0.170471
BL2301-355 0.2 0.17 93 265 16 21.59 0.170471
BL2302-650 0.3 0.19 92 279 16 23.95 0.177217
BL2302-650 0.3 0.19 92 279 16 25.01 0.177217
BL2302-650 0.3 0.19 92 279 16 25.01 0.177217
BL2302-650 0.3 0.19 92 279 16 20.97 0.177217
BL2302-661 0.2 0.19 130 357 17 29.55 0.247809
BL2302-661 0.2 0.19 130 357 17 26.78 0.247809
BL2302-661 0.2 0.19 130 357 17 34.36 0.247809
BL2302-661 0.2 0.19 130 357 17 33.18 0.247809
BL2302-661 0.2 0.19 130 357 17 33.18 0.247809
BL2311-1089 0.4 0.25 96 216 18 21.73 0.222583
BL2311-1089 0.4 0.25 96 216 18 27.37 0.222583
BL2311-1089 0.4 0.25 96 216 18 29.42 0.222583
BL2311-1089 0.4 0.25 96 216 18 29.42 0.222583
BL2322-726 0.5 0.18 104 406 15 20.23 0.185215
BL2322-726 0.5 0.18 104 406 15 23.98 0.185215
BL2322-726 0.5 0.18 104 406 15 23.98 0.185215
BL2322-726 0.5 0.18 104 406 15 25.52 0.185215
BL2327-619 0.3 0.25 135 292 15 26.03 0.203354
BL2327-619 0.3 0.25 135 292 15 21.88 0.203354
BL2327-619 0.3 0.25 135 292 15 26.73 0.203354
BL2327-619 0.3 0.25 135 292 15 26.03 0.203354
BL2327-627 0.2 0.21 113 320 22 32.15 0.239539
BL2327-627 0.2 0.21 113 320 22 30.61 0.239539
BL2327-627 0.2 0.21 113 320 22 28.39 0.239539
BL2327-627 0.2 0.21 113 320 22 28.17 0.239539
BL2327-627 0.2 0.21 113 320 22 25.51 0.239539
BL2338-1035 0.6 0.19 105 354 13 24.66 0.200939
BL2338-1035 0.6 0.19 105 354 13 24.66 0.200939
